date,subscribers,views
2018-10-06,0,46
2018-10-07,2,48
2018-10-08,1,93
2018-10-09,0,43
2018-10-10,1,65
2018-10-11,3,34
2018-10-12,0,56
2018-10-13,1,33
2018-10-14,1,52
2018-10-15,5,61
2018-10-16,3,73
2018-10-17,0,64
2018-10-18,3,59
2018-10-19,1,39
2018-10-20,0,44
2018-10-21,0,33
2018-10-22,0,32
2018-10-23,4,52
2018-10-24,3,76
2018-10-25,1,54
2018-10-26,1,64
2018-10-27,0,53
2018-10-28,3,74
2018-10-29,0,65
2018-10-30,2,72
2018-10-31,1,51
2018-11-01,-1,27
2018-11-02,0,41
2018-11-03,0,60
2018-11-04,0,88
2018-11-05,1,78
2018-11-06,0,64
2018-11-07,0,74
2018-11-08,0,90
2018-11-09,1,57
2018-11-10,0,52
2018-11-11,2,48
2018-11-12,1,114
2018-11-13,1,115
2018-11-14,0,112
2018-11-15,2,214
2018-11-16,1,146
2018-11-17,2,163
2018-11-18,3,139
2018-11-19,1,84
2018-11-20,2,100
2018-11-21,2,108
2018-11-22,1,83
2018-11-23,1,68
2018-11-24,0,75
2018-11-25,1,48
2018-11-26,4,134
2018-11-27,1,103
2018-11-28,3,92
2018-11-29,0,64
2018-11-30,1,74
2018-12-01,0,81
2018-12-02,1,73
2018-12-03,1,100
2018-12-04,1,66
2018-12-05,0,64
2018-12-06,0,46
2018-12-07,0,23
2018-12-08,0,45
2018-12-09,0,95
2018-12-10,1,26
2018-12-11,0,45
2018-12-12,2,50
2018-12-13,1,52
2018-12-14,0,40
2018-12-15,0,66
2018-12-16,3,46
2018-12-17,1,32
2018-12-18,1,51
2018-12-19,3,32
2018-12-20,0,46
2018-12-21,0,38
2018-12-22,0,70
2018-12-23,0,30
2018-12-24,0,36
2018-12-25,0,39
2018-12-26,0,15
2018-12-27,4,52
2018-12-28,1,37
2018-12-29,1,21
2018-12-30,1,62
2018-12-31,2,37
2019-01-01,1,26
2019-01-02,1,44
2019-01-03,1,48
2019-01-04,0,49
2019-01-05,1,73
2019-01-06,0,59
2019-01-07,1,46
2019-01-08,1,83
2019-01-09,2,77
2019-01-10,0,71
2019-01-11,3,130
2019-01-12,3,171
2019-01-13,1,198
2019-01-14,2,252
2019-01-15,3,192
2019-01-16,3,255
2019-01-17,0,110
2019-01-18,1,91
2019-01-19,3,119
2019-01-20,1,86
2019-01-21,1,46
2019-01-22,1,78
2019-01-23,2,124
2019-01-24,2,76
2019-01-25,1,79
2019-01-26,0,139
2019-01-27,4,149
2019-01-28,1,142
2019-01-29,1,164
2019-01-30,3,138
2019-01-31,1,113
2019-02-01,2,72
2019-02-02,1,128
2019-02-03,-1,164
2019-02-04,2,122
2019-02-05,1,167
2019-02-06,0,109
2019-02-07,0,74
2019-02-08,0,90
2019-02-09,1,103
2019-02-10,0,117
2019-02-11,1,130
2019-02-12,0,170
2019-02-13,1,106
2019-02-14,1,123
2019-02-15,2,132
2019-02-16,3,157
2019-02-17,2,128
2019-02-18,3,112
2019-02-19,0,73
2019-02-20,1,123
2019-02-21,2,118
2019-02-22,-1,58
2019-02-23,1,78
2019-02-24,1,59
2019-02-25,3,93
2019-02-26,0,105
2019-02-27,3,88
2019-02-28,0,102
2019-03-01,2,96
2019-03-02,0,134
2019-03-03,1,155
2019-03-04,0,112
2019-03-05,2,94
2019-03-06,1,136
2019-03-07,0,140
2019-03-08,0,80
2019-03-09,4,109
2019-03-10,2,194
2019-03-11,-1,180
2019-03-12,1,146
2019-03-13,3,117
2019-03-14,1,95
2019-03-15,0,79
2019-03-16,2,87
2019-03-17,1,73
2019-03-18,1,56
2019-03-19,1,92
2019-03-20,0,125
2019-03-21,1,93
2019-03-22,0,69
2019-03-23,3,98
2019-03-24,2,117
2019-03-25,4,116
2019-03-26,2,135
2019-03-27,1,96
2019-03-28,1,149
2019-03-29,2,184
2019-03-30,3,188
2019-03-31,2,172
2019-04-01,2,119
2019-04-02,0,94
2019-04-03,0,121
2019-04-04,-1,79
2019-04-05,1,98
2019-04-06,2,101
2019-04-07,1,142
2019-04-08,1,105
2019-04-09,1,169
2019-04-10,3,144
2019-04-11,3,175
2019-04-12,2,106
2019-04-13,3,121
2019-04-14,0,159
2019-04-15,2,104
2019-04-16,1,161
2019-04-17,3,162
2019-04-18,0,73
2019-04-19,2,97
2019-04-20,4,113
2019-04-21,-1,124
2019-04-22,0,80
2019-04-23,2,178
2019-04-24,1,172
2019-04-25,2,123
2019-04-26,1,150
2019-04-27,1,131
2019-04-28,0,168
2019-04-29,2,150
2019-04-30,0,63
2019-05-01,2,135
2019-05-02,1,134
2019-05-03,0,100
2019-05-04,0,89
2019-05-05,1,147
2019-05-06,1,88
2019-05-07,1,97
2019-05-08,2,81
2019-05-09,1,76
2019-05-10,4,86
2019-05-11,0,107
2019-05-12,1,53
2019-05-13,2,77
2019-05-14,1,87
2019-05-15,3,144
2019-05-16,2,76
2019-05-17,1,89
2019-05-18,1,93
2019-05-19,0,97
2019-05-20,0,106
2019-05-21,0,82
2019-05-22,2,145
2019-05-23,1,50
2019-05-24,0,55
2019-05-25,1,60
2019-05-26,2,89
2019-05-27,-1,107
2019-05-28,1,113
2019-05-29,1,137
2019-05-30,1,112
2019-05-31,0,55
2019-06-01,2,73
2019-06-02,0,61
2019-06-03,1,136
2019-06-04,4,96
2019-06-05,1,135
2019-06-06,0,60
2019-06-07,1,101
2019-06-08,1,92
2019-06-09,1,104
2019-06-10,0,93
2019-06-11,1,80
2019-06-12,0,69
2019-06-13,1,97
2019-06-14,0,132
2019-06-15,0,98
2019-06-16,0,98
2019-06-17,0,82
2019-06-18,1,113
2019-06-19,0,124
2019-06-20,1,94
2019-06-21,2,67
2019-06-22,0,135
2019-06-23,1,90
2019-06-24,1,80
2019-06-25,1,126
2019-06-26,1,86
2019-06-27,1,94
2019-06-28,0,67
2019-06-29,0,69
2019-06-30,0,79
2019-07-01,0,125
2019-07-02,0,112
